image,method,num_features,mean_response,notes,min_distance,k,threshold_rel,n,threshold,n_keypoints
cameraman,harris_mindist5_k0.05,133,0.5912,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
cameraman,harris_mindist20_k0.05,34,1.0839,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
cameraman,fast_n9_thresh10,6151,23.3965,FAST-9: Threshold standar,,,,9.0,10.0,
cameraman,fast_n9_thresh30,1251,46.8777,FAST-9: Threshold tinggi,,,,9.0,30.0,
cameraman,orb_200_features,200,0.7883,ORB: Target 200 keypoints,,,,,,200.0
cameraman,orb_500_features,500,0.4370,ORB: Target 500 keypoints,,,,,,500.0
cameraman,sift_500_features,502,0.0400,SIFT: Target 500 keypoints,,,,,,500.0
coins,harris_mindist5_k0.05,149,0.1969,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
coins,harris_mindist20_k0.05,43,0.4065,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
coins,fast_n9_thresh10,3479,26.5918,FAST-9: Threshold standar,,,,9.0,10.0,
coins,fast_n9_thresh30,1105,45.8199,FAST-9: Threshold tinggi,,,,9.0,30.0,
coins,orb_200_features,200,0.2600,ORB: Target 200 keypoints,,,,,,200.0
coins,orb_500_features,500,0.1379,ORB: Target 500 keypoints,,,,,,500.0
coins,sift_500_features,501,0.0340,SIFT: Target 500 keypoints,,,,,,500.0
checkerboard,harris_mindist5_k0.05,49,6.4412,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
checkerboard,harris_mindist20_k0.05,49,6.4412,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
checkerboard,fast_n9_thresh10,196,79.0000,FAST-9: Threshold standar,,,,9.0,10.0,
checkerboard,fast_n9_thresh30,196,79.0000,FAST-9: Threshold tinggi,,,,9.0,30.0,
checkerboard,orb_200_features,200,4.2986,ORB: Target 200 keypoints,,,,,,200.0
checkerboard,orb_500_features,500,3.7899,ORB: Target 500 keypoints,,,,,,500.0
checkerboard,sift_500_features,134,0.1285,SIFT: Target 500 keypoints,,,,,,500.0
astronaut,harris_mindist5_k0.05,172,0.7813,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
astronaut,harris_mindist20_k0.05,43,1.1238,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
astronaut,fast_n9_thresh10,3732,29.0442,FAST-9: Threshold standar,,,,9.0,10.0,
astronaut,fast_n9_thresh30,1120,57.6848,FAST-9: Threshold tinggi,,,,9.0,30.0,
astronaut,orb_200_features,200,1.3457,ORB: Target 200 keypoints,,,,,,200.0
astronaut,orb_500_features,500,0.7427,ORB: Target 500 keypoints,,,,,,500.0
astronaut,sift_500_features,500,0.0528,SIFT: Target 500 keypoints,,,,,,500.0
chelsea,harris_mindist5_k0.05,66,0.0422,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
chelsea,harris_mindist20_k0.05,18,0.0944,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
chelsea,fast_n9_thresh10,3037,17.7168,FAST-9: Threshold standar,,,,9.0,10.0,
chelsea,fast_n9_thresh30,244,37.2213,FAST-9: Threshold tinggi,,,,9.0,30.0,
chelsea,orb_200_features,200,0.0317,ORB: Target 200 keypoints,,,,,,200.0
chelsea,orb_500_features,500,0.0168,ORB: Target 500 keypoints,,,,,,500.0
chelsea,sift_500_features,500,0.0212,SIFT: Target 500 keypoints,,,,,,500.0
personal,harris_mindist5_k0.05,357,1.0596,Harris: Jarak minimum 5px,5.0,0.05,0.01,,,
personal,harris_mindist20_k0.05,97,2.0619,Harris: Jarak minimum 20px,20.0,0.05,0.01,,,
personal,fast_n9_thresh10,5626,33.6472,FAST-9: Threshold standar,,,,9.0,10.0,
personal,fast_n9_thresh30,2068,63.1112,FAST-9: Threshold tinggi,,,,9.0,30.0,
personal,orb_200_features,200,2.3140,ORB: Target 200 keypoints,,,,,,200.0
personal,orb_500_features,500,1.4072,ORB: Target 500 keypoints,,,,,,500.0
personal,sift_500_features,500,0.0615,SIFT: Target 500 keypoints,,,,,,500.0
